"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"1083-1",30880,25702,25383,25499,23758,23038
"1083-2",33967,28345,27975,28091,26335,25693
"1083-3",12109,10178,9985,10038,9401,9255
"1083-4",23508,19502,19306,19366,18314,17903
"1083-PBS",19989,17178,17101,17170,16888,16888
"1165D1LM",609025,513044,502491,508445,437232,412160
"1165D3LM",676674,580336,568752,575103,491693,454575
"1179-PBS",19696,17034,17001,17003,16941,16941
"1179D1LM",564157,491328,482631,487088,434622,408363
"1179D3LM",658846,562995,553550,558314,487580,447292
"1217-PBS",16803,14495,14442,14489,14022,13998
"1217D1LM",581331,491971,487002,488722,450010,421586
"1217D3LM",520966,445873,438809,442747,388456,357532
"1218D1LM",631737,534166,524743,529958,454720,428468
"1218D3LM",506794,439425,427740,434803,361839,332696
"1226D1LM",578573,485071,475044,481296,420986,402045
"1226D3LM",585338,504308,492635,499362,419889,390788
"1228D1LM",505772,425732,417108,421746,362462,330483
"1228D3LM",538046,465407,455853,460922,398237,366176
"1234D1LM",597853,515886,506557,511796,446452,426910
"1234D3LM",600807,508294,497093,503838,426226,391949
"1261D1LM",569806,488282,476690,483716,411984,386223
"1261D3LM",505986,430117,420684,426206,368064,343194
"1287D1LM",747503,640065,631354,636318,573418,545953
"1287D3LM",669264,574871,565612,570733,510310,479758
"1308D1LM",499256,375039,368220,371423,320907,297965
"1308D3LM",460714,391386,385166,388542,346895,321353
"1314D1LM",416915,335027,328253,331901,289133,275690
"1314D3LM",621200,522875,512910,518532,452648,421505
"1320D1LM",727021,619928,611862,616140,551958,525470
"1320D3LM",627324,530855,520470,526524,457197,427566
"1349D1LM",678022,583854,579717,581694,543830,516519
"1349D3LM",590907,493594,484928,489830,428358,400156
"1355D1LM",703302,592206,581693,587236,511792,480433
"1355D3LM",564423,477799,466830,473425,402779,374363
"1359D1LM",672403,569046,555685,563191,477031,428907
"1359D3LM",686913,580694,572808,576939,515600,480625
"1368D1LM",694220,585213,576862,581080,504102,454078
"1368D3LM",592544,505014,494073,499971,430715,401030
"1409D1LM",658592,565753,554370,561405,493200,469493
"1409D3LM",694759,594656,585405,590300,520052,477293
"279D1LM",820044,700284,690463,695784,623627,585355
"279D3LM",419743,362177,356186,359276,319997,298088
"288-PBS",23567,19734,19714,19692,19368,19288
"288D1LM",689971,585425,577422,581104,516435,477341
"288D3LM",673540,572239,564841,568256,514186,465183
"302-PBS",19386,16769,16749,16759,16644,16603
"302D1LM",669011,578318,571637,575135,522075,498944
"302D3LM",742587,629358,622961,626210,569129,535726
"321D1LM",534433,457253,451204,454285,410842,356976
"321D3LM",475526,405102,398880,402017,355238,331817
"403D1LM",142401,88929,85357,87315,68236,65815
"403D3LM",438235,370631,363418,367641,323586,299409
"466D1LM",676110,565502,556708,561287,496750,472036
"466D3LM",452288,370530,364086,367568,322747,296379
"487D1LM",524329,443837,435693,440367,386124,370343
"487D3LM",690235,582722,568434,577650,487433,460026
"496D1LM",599409,512286,504095,508004,448576,421597
"496D3LM",566465,463147,456826,460368,410838,389092
"504D1LM",607300,525844,518090,522244,460215,431184
"504D3LM",683159,583424,573275,578174,495348,435473
"516D1LM",630873,545636,539749,542749,494853,458917
"516D3LM",664198,567442,560905,564384,515723,477544
"519D1LM",733939,624701,617433,620306,539122,488479
"519D3LM",620262,527004,521300,523486,452461,396866
"580D1LM",624261,537369,529916,533007,465830,413984
"580D3LM",676009,583085,572561,578355,495620,441656
"5839D1LM",110707,95210,92602,93631,80526,76525
"5839D3LM",485345,404933,397052,401281,352346,326846
"5842D1LM",513483,436989,430814,434054,388127,374158
"5842D3LM",564624,489992,486238,487567,459796,404015
"5943D1LM",496938,430775,425317,428099,386727,370573
"5943D3LM",569175,481486,473554,477835,419074,372739
"5967D1LM",464348,328489,321276,325193,272965,260609
"5967D3LM",690128,552741,543469,548168,473975,435250
"608D1LM",600597,511959,504754,508698,454321,426315
"608D3LM",669824,556366,549317,553069,495859,457752
"616D1LM",704125,602591,593305,598192,531658,494374
"616D3LM",628423,532610,525436,529533,472395,443286
"6174D1LM",578130,491917,481979,487751,417787,390917
"6174D3LM",505599,434653,426778,431167,377856,344957
"6197D1LM",285256,158266,154200,156427,123581,118819
"6197D3LM",547565,346636,341563,344304,298044,275664
"6209D1LM",806799,678046,666166,673027,584144,544127
"6209D3LM",650361,548592,541421,544753,487704,452411
"6333D1LM",12821,9032,8402,8568,6309,6199
"6333D3LM",648528,545716,538779,542639,489444,456912
"6347D1LM",556155,475382,464668,470802,402780,370735
"6347D3LM",491842,417370,411669,414415,374368,333322
"652D1LM",643898,539210,532013,536045,484142,453756
"652D3LM",479612,412861,409086,411390,383629,358349
"657D1LM",664209,567001,561995,564211,522575,488037
"657D3LM",566849,484962,477444,481369,416508,389651
"6767-PBS",20401,17796,17784,17765,17741,17721
"6767D1LM",808777,692289,681875,687950,607974,573581
"6767D3LM",673116,571674,559012,566619,486235,449140
"694D1LM",635961,547864,539080,543298,480052,427680
"694D3LM",502880,430672,422785,426526,368426,339715
"6970D1LM",512803,438776,432756,435953,395136,376303
"6970D3LM",671696,574485,563104,569430,494467,453584
"6990D1LM",683439,573263,564188,569403,502704,478642
"6990D3LM",622417,529578,522882,526270,448492,412493
"699D1LM",631149,545288,539018,541989,490586,462026
"699D3LM",611525,514997,506843,511321,452050,425237
"7004D1LM",479792,406700,401153,404211,363988,347650
"7004D3LM",466208,399442,392576,396466,346890,322528
"703D1LM",531967,455920,449844,453019,410862,391143
"703D3LM",444540,383132,376649,380160,338695,317638
